"specialty","visiting_city","visiting_site","visiting_lat","visiting_lon","frequency","origin_site","origin_city","origin_lat","origin_lon","consultant_name"
"Cardiovascular Disease","Clinton","MercyOne North Health Plaza - Clinton","41.83893","-90.19075","1/MO","UIHC - Dept of Internal Medicine","Iowa City","41.66124","-91.53013","Denice M Hodgson Zingman, MD"
"General Surgery","Clinton","MercyOne Specialty Clinic - Clinton","41.83893","-90.19075","2/MO","Genesis Surgical Associates","Silvis, IL","41.51223","-90.41563","Benjamin David Acton, DO"
"General Surgery","Clinton","MercyOne Specialty Clinic - Clinton","41.83893","-90.19075","1/WK","Genesis Surgical Associates","Silvis, IL","41.51223","-90.41563","Nathan Michael Fierce, DO"
"Orthopaedic Surgery","Clinton","Ortho Specialists, PC","41.83893","-90.19075","3+/WK","Orthopaedic Specialists PC","Davenport","41.52353","-90.57704","Kristyn Marie Darmafall, MD"
"Orthopaedic Surgery","Clinton","Ortho Specialists, PC","41.83893","-90.19075","3+/WK","Orthopaedic Specialists PC","Davenport","41.52353","-90.57704","Michael Dolphin, DO"
"Orthopaedic Surgery","Clinton","Ortho Specialists, PC","41.83893","-90.19075","3+/WK","Orthopaedic Specialists PC","Davenport","41.52353","-90.57704","John M Hoffman, MD"
"Orthopaedic Surgery","Clinton","Ortho Specialists, PC","41.83893","-90.19075","3+/WK","Orthopaedic Specialists PC","Davenport","41.52353","-90.57704","Ericka A Lawler, MD"
"Orthopaedic Surgery","Clinton","Ortho Specialists, PC","41.83893","-90.19075","3+/WK","Orthopaedic Specialists PC","Davenport","41.52353","-90.57704","Tuvi Mendel, MD"
"Orthopaedic Surgery","Clinton","Ortho Specialists, PC","41.83893","-90.19075","3+/WK","Orthopaedic Specialists PC","Davenport","41.52353","-90.57704","Craig Edward Moe, MD"
"Ophthalmology","Clinton","Virdi Eye Clinic - Clinton","41.83893","-90.19075","2/MO","Virdi Eye Clinic - Davenport","Davenport","41.52353","-90.57704","Navaneet SC Borisuth, MD"
"Cardiovascular Disease","Corning","CHI Health Mercy - Corning","40.98808","-94.73188","1/WK","CHI Health Cardiology","Omaha, NE","41.25865","-95.93719","Michael G Del Core, MD"
"Hematology-Oncology","Corning","CHI Health Mercy - Corning","40.98808","-94.73188","2/MO","Mission Cancer + Blood - John Stoddard","Des Moines","41.58882","-93.62031","Seema Harichand-Herdt, MD"
"Obstetrics & Gynecology","Corning","CHI Health Mercy - Corning","40.98808","-94.73188","2/MO","Methodist Phy Clinic OB/GYN - Council Bluffs","Council Bluffs","41.25896","-95.85436","Norman E Ferrer, MD"
"Obstetrics & Gynecology","Corning","CHI Health Mercy - Corning","40.98808","-94.73188","2/MO","Atlantic Medical Center / Walk In Clinic","Atlantic","41.40401","-95.01443","Marcela Pineda, MD"
"Obstetrics & Gynecology","Corning","CHI Health Mercy - Corning","40.98808","-94.73188","1/MO","CHI Mercy Clinic Women's Health","Council Bluffs","41.25896","-95.85436","Meaghan Marie Shanahan, MD"
"Orthopaedic Surgery","Corning","CHI Health Mercy - Corning","40.98808","-94.73188","2/MO","Omaha Ortho & Sports Med PC","Omaha, NE","41.25865","-95.93719","Michael John Coffey, MD"
"Otolaryngology","Corning","CHI Health Mercy - Corning","40.98808","-94.73188","1/MO","Wellendorf ENT","Carroll","42.06565","-94.86722","Tracey G Wellendorf, MD"
"Allergy & Immunology","Corydon","Wayne County Hospital","40.75842","-93.31806","1/MO","Allergy Asthma & Sinus Center PC","West Des Moines","41.5755","-93.71303","Ravinder K Agarwal, MD"
"Cardiovascular Disease","Corydon","Wayne County Hospital","40.75842","-93.31806","1/MO","Iowa Heart Center - Mercy Medical Center","Des Moines","41.58882","-93.62031","Martin R Aronow, DO"
"Nephrology","Corydon","Wayne County Hospital","40.75842","-93.31806","1/MO","Associates in Kidney Care PLC","Des Moines","41.58882","-93.62031","Patrick Co Chua, MD"
"Nephrology","Corydon","Wayne County Hospital","40.75842","-93.31806","1/MO","Iowa Kidney Physicians - Med Plaza Office","Des Moines","41.58882","-93.62031","Ivy Reyes Melgarejo, MD"
"Ophthalmology","Corydon","Wayne County Hospital","40.75842","-93.31806","1/MO","Des Moines Eye Surgeons","West Des Moines","41.5755","-93.71303","Andrew Clyde Gavle Steffensmeier, MD"
"Otolaryngology","Corydon","Wayne County Hospital","40.75842","-93.31806","1/MO","Iowa ENT Center - West Des Moines","West Des Moines","41.5755","-93.71303","Timothy C Simplot, MD"
"Urology","Corydon","Wayne County Hospital","40.75842","-93.31806","1/WK","Lakeview Center for Urology","West Des Moines","41.5755","-93.71303","Fawad S Zafar, MD"
"Orthopaedic Surgery","Council Bluffs","MD West One - Council Bluffs","41.25896","-95.85436","1/MO","MD West One","Omaha, NE","41.25865","-95.93719","Michael Anthony Del Core, MD"
"Colon & Rectal Surgery","Council Bluffs","Methodist Phy Clinic Colon & Rectal Surgery","41.25896","-95.85436","1/WK","Methodist Health Systems","Omaha, NE","41.25865","-95.93719","Austin Douglas Person, MD"
"Colon & Rectal Surgery","Council Bluffs","Methodist Phy Clinic Colon & Rectal Surgery","41.25896","-95.85436","1/WK","Methodist Health Systems","Omaha, NE","41.25865","-95.93719","Zachary Hovis Torgersen, MD"
"Infectious Disease","Council Bluffs","Methodist Phy Clinic Internal Med","41.25896","-95.85436","2/WK","Infectious Disease Epidemiology Assoc","Omaha, NE","41.25865","-95.93719","Jeffrey Scott Sartin, MD"
"General Surgery","Cresco","Regional Health Services of Howard County","43.37116","-92.12017","2/WK","Gundersen Medical Clinic - Decorah","Decorah","43.30329","-91.78834","Michael Francis LaBelle, MD"
"Ophthalmology","Cresco","Regional Health Services of Howard County","43.37116","-92.12017","1/MO","Wolfe Eye Clinic - Cedar Falls","Cedar Falls","42.53781","-92.4534","Benjamin L Mason, MD"
"Orthopaedic Surgery","Cresco","Regional Health Services of Howard County","43.37116","-92.12017","1/WK","Mason City Clinic PC","Mason City","43.15362","-93.20104","Richard Elmer Rattay, MD"
"Otolaryngology","Cresco","Regional Health Services of Howard County","43.37116","-92.12017","2/MO","Mason City Clinic PC","Mason City","43.15362","-93.20104","Henry Richard Diggelmann, MD"
"Urology","Cresco","Regional Health Services of Howard County","43.37116","-92.12017","1/MO","Mason City Clinic PC","Mason City","43.15362","-93.20104","Christopher Edelen Adams, MD"
"Ophthalmology","Creston","Creston Vision Clinic","41.05925","-94.36965","1/MO","Des Moines Eye Surgeons","West Des Moines","41.5755","-93.71303","Matthew Evan Raecker, MD"
"Allergy & Immunology","Creston","Greater Regional Medical Center","41.05925","-94.36965","1/MO","Allergy Asthma & Sinus Center PC","West Des Moines","41.5755","-93.71303","Ravinder K Agarwal, MD"
"Cardiovascular Disease","Creston","Greater Regional Medical Center","41.05925","-94.36965","2/WK","Iowa Clinic Cardiovascular - West Des Moines","West Des Moines","41.5755","-93.71303","David K Lemon, MD"
"Hematology-Oncology","Creston","Greater Regional Medical Center","41.05925","-94.36965","2/WK","MercyOne Cancer Center - Radiation Oncology","Des Moines","41.58882","-93.62031","Adam Daniel Gliniewicz, MD"
"Hematology-Oncology","Creston","Greater Regional Medical Center","41.05925","-94.36965","2/WK","MercyOne Cancer Center - Radiation Oncology","Des Moines","41.58882","-93.62031","John M Martens, MD"
"Hematology-Oncology","Creston","Greater Regional Medical Center","41.05925","-94.36965","2/WK","MercyOne Cancer Center - Radiation Oncology","Des Moines","41.58882","-93.62031","George H Voynov, MD"
"Nephrology","Creston","Greater Regional Medical Center","41.05925","-94.36965","2/MO","Associates in Kidney Care PLC","Des Moines","41.58882","-93.62031","Prem K G Chandran, MD"
"Otolaryngology","Creston","Greater Regional Medical Center","41.05925","-94.36965","1/WK","Iowa ENT Center - West Des Moines","West Des Moines","41.5755","-93.71303","Arun Kumar Gupta, DO"
"Physical Medicine & Rehab","Creston","Greater Regional Medical Center","41.05925","-94.36965","1/WK","Iowa Clinic - Physical Med/Podiatry","West Des Moines","41.5755","-93.71303","Todd C Troll, MD"
"Radiation Oncology","Creston","Greater Regional Medical Center","41.05925","-94.36965","2/WK","MercyOne Cancer Center - Radiation Oncology","Des Moines","41.58882","-93.62031","Truston J Bodine, MD"
"Radiation Oncology","Creston","Greater Regional Medical Center","41.05925","-94.36965","2/WK","MercyOne Cancer Center - Radiation Oncology","Des Moines","41.58882","-93.62031","Emily Merfeld, MD"
"Dermatology","Dakota Dunes","CNOS, PC",NULL,NULL,"2/MO","Dunes Dermatology","Dakota Dunes, SD","42.50394","-96.49581","Inderjit Singh Chabra, MD"
"Cardiovascular Disease","Davenport","Cardiovascular Medicine PC","41.52353","-90.57704","1/MO","UIHC - Dept of Internal Medicine","Iowa City","41.66124","-91.53013","Linda Marie Cadaret, MD"
"Gastroenterology","De Witt","Genesis Medical Center - DeWitt","41.82615","-90.53899","<1/MO","Genesis Gastroenterology Associates","Bettendorf","41.52627","-90.50728","Young B Huh, MD"
"General Surgery","De Witt","Genesis Medical Center - DeWitt","41.82615","-90.53899","1/WK","Genesis Surgical Associates","Silvis, IL","41.51223","-90.41563","Michael Allen Burchett, DO"
"General Surgery","De Witt","Genesis Medical Center - DeWitt","41.82615","-90.53899","1/WK","Genesis Surgical Associates","Silvis, IL","41.51223","-90.41563","Andrew Francis Philip, MD"
"General Surgery","De Witt","Genesis Medical Center - DeWitt","41.82615","-90.53899","1/MO","Genesis Surgical Associates","Silvis, IL","41.51223","-90.41563","Angela Kay Stork, MD"
"Ophthalmology","De Witt","Genesis Medical Center - DeWitt","41.82615","-90.53899","1/MO","Fox Eye Laser Vision Inst. PC","Cedar Rapids","41.97805","-91.66986","Lee D Birchansky, MD"
"Allergy & Immunology","Decorah","Gundersen Medical Clinic - Decorah","43.30329","-91.78834","2/MO","Gundersen Medical Center","La Crosse, WI","43.80877","-91.25186","Todd A Mahr, MD"
"Cardiovascular Disease","Decorah","Gundersen Medical Clinic - Decorah","43.30329","-91.78834","2/WK","Gundersen Health System","La Crosse, WI","43.80877","-91.25186","Wah Wah Htun, MD"
"Gastroenterology","Decorah","Gundersen Medical Clinic - Decorah","43.30329","-91.78834","2/MO","Gundersen Medical Center","La Crosse, WI","43.80877","-91.25186","James Lee Groskreutz, MD"
"Neurology","Decorah","Gundersen Medical Clinic - Decorah","43.30329","-91.78834","1/MO","Gundersen Medical Center","La Crosse, WI","43.80877","-91.25186","Rachel A Biemiller, MD"
"Obstetrics & Gynecology","Decorah","Gundersen Medical Clinic - Decorah","43.30329","-91.78834","1/MO","Gundersen Medical Center","La Crosse, WI","43.80877","-91.25186","Alexa Rose Lowry, MD"
"Obstetrics & Gynecology","Decorah","Gundersen Medical Clinic - Decorah","43.30329","-91.78834","1/MO","Gundersen Medical Center","La Crosse, WI","43.80877","-91.25186","Heather Lynn Stief, MD"
"Ophthalmology","Decorah","Gundersen Medical Clinic - Decorah","43.30329","-91.78834","2/MO","Gundersen Medical Center","La Crosse, WI","43.80877","-91.25186","Kristie K Shappell, MD"
"Orthopaedic Surgery","Decorah","Gundersen Medical Clinic - Decorah","43.30329","-91.78834","1/MO","Gundersen Medical Center","La Crosse, WI","43.80877","-91.25186","Jonathan Bradley Peterson, MD"
"Otolaryngology","Decorah","Gundersen Medical Clinic - Decorah","43.30329","-91.78834","3/MO","Gundersen Health System","La Crosse, WI","43.80877","-91.25186","Mark James Ringstrom, MD"
"Vascular Surgery","Decorah","Gundersen Medical Clinic - Decorah","43.30329","-91.78834","1/MO","Gundersen Medical Center","La Crosse, WI","43.80877","-91.25186","Laura Alice Peterson, MD"
"Vascular Surgery","Decorah","Gundersen Medical Clinic - Decorah","43.30329","-91.78834","1/MO","Gundersen Health System","La Crosse, WI","43.80877","-91.25186","Irina Shakhnovich, MD"
"Cardiovascular Disease","Decorah","WinnMed Clinic - Decorah","43.30329","-91.78834","3/MO","Mayo Clinic","Rochester, MN","44.01933","-92.45887","David A Foley, MD"
"Medical Oncology","Decorah","WinnMed Clinic - Decorah","43.30329","-91.78834","2/MO","Mayo Cl Hlth Sys Franciscan & Skemp","La Crosse, WI","43.80877","-91.25186","Paula Gill, MD"
"Ophthalmology","Decorah","WinnMed Clinic - Decorah","43.30329","-91.78834","PRN","Mayo Clinic","Rochester, MN","44.01933","-92.45887","Sunil Surendra Khanna, MD"
"Urology","Decorah","WinnMed Clinic - Decorah","43.30329","-91.78834","2/MO","Mayo Clinic","Rochester, MN","44.01933","-92.45887","Ross Anthony Avant, MD"
"Urology","Decorah","WinnMed Clinic - Decorah","43.30329","-91.78834","2/MO","Mayo Clinic","Rochester, MN","44.01933","-92.45887","Adam Ray Miller, MD"
"Cardiovascular Disease","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","2/MO","CHI Health Cardiology","Omaha, NE","41.25865","-95.93719","Ahmed Salah Aboeata, MD"
"Cardiovascular Disease","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","2/MO","Methodist Phyisican Clinic Heart Care","Council Bluffs","41.25896","-95.85436","Robert W Armbruster, MD"
"Cardiovascular Disease","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","3/MO","CHI Health Cardiology","Omaha, NE","41.25865","-95.93719","Atul A Ramachandran, MD"
"Dermatology","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","2/MO","Dr Douglas J Ramos","Omaha, NE","41.25865","-95.93719","Douglas J Ramos, MD"
"Endocrinology Diabetes Metaboli","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","2/MO","University of Nebraska Med Ctr","Omaha, NE","41.25865","-95.93719","Sydney Lynn Blount, MD"
"Endocrinology Diabetes Metaboli","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","2/MO","Diabetes Center - Specialty Pavillion","Omaha, NE","41.25865","-95.93719","Leslie Anne Eiland, MD"
"Hematology","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","1/MO","University of Nebraska Med Ctr","Omaha, NE","41.25865","-95.93719","Alex Benjamin Nester, MD"
"Nephrology","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","2/MO","Hawarden Clinic","Hawarden","43.00078","-96.48794","David Solomon de Guzman Chua, MD"
"Nephrology","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","2/MO","Renal Associates","Dakota Dunes, SD","42.50394","-96.49581","Jerold Clancy Erlandson, MD"
"Neurological Surgery","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","1/MO","Doctor's Building North","Omaha, NE","41.25865","-95.93719","Ric Edee Jensen, MD"
"Neurology","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","1/MO","CNOS, PC","Dakota Dunes, SD","42.50394","-96.49581","William Joseph Andrews, MD"
"Ophthalmology","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","1/MO","Omaha Eye & Laser Institute","Omaha, NE","41.25865","-95.93719","Sao Jang Liu, MD"
"Ophthalmology","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","1/MO","Omaha Eye & Laser Institute","Omaha, NE","41.25865","-95.93719","William James Thomas, MD"
"Otolaryngology","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","2/MO","Family ENT Clinic","Omaha, NE","41.25865","-95.93719","Paul S Sherrerd, MD"
"Pulmonary Disease","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","1/MO","UnityPoint Clinic Pulmonary & Critical Care","Sioux City","42.49632","-96.40644","Jitendrakumar S Gupta, MD"
"Pulmonary Disease","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","1/MO","UnityPoint Clinic Pulmonary & Critical Care","Sioux City","42.49632","-96.40644","Sandeep Singh Gupta, MD"
"Urology","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","2/MO","Siouxland Urological Assoc","Dakota Dunes, SD","42.50394","-96.49581","Andrew Elliott Bourne, MD"
"Urology","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","2/MO","CHI Health Creighton University Med Cent","Omaha, NE","41.25865","-95.93719","Dane English Klett, MD"
"Vascular Surgery","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","1/MO","University of Nebraska Med Ctr","Omaha, NE","41.25865","-95.93719","Jason Rhede Cook, MD"
"Vascular Surgery","Denison","Crawford County Memorial Hospital","42.01239","-95.34811","1/MO","Peripheral & Vascular Surgery","Omaha, NE","41.25865","-95.93719","Tammy A Ramos, MD"
"Cardiovascular Disease","Des Moines","Iowa Clinic Cardiovascular - Plaza II","41.58882","-93.62031","1/MO","UIHC - Dept of Internal Medicine","Iowa City","41.66124","-91.53013","Linda Marie Cadaret, MD"
"Pediatric Cardiology","Des Moines","Pediatric Cardiology PC","41.58882","-93.62031","1/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Ian H Law, MD"
"Transplant Hepatology","Des Moines","UnityPoint Clinic Center for Liver Disease","41.58882","-93.62031","1/WK","University of Nebraska Med Ctr","Omaha, NE","41.25865","-95.93719","Marco Antonio Olivera-Martinez, MD"
"Transplant Hepatology","Des Moines","UnityPoint Clinic Center for Liver Disease","41.58882","-93.62031","1/WK","University of Nebraska Med Ctr","Omaha, NE","41.25865","-95.93719","Fedja Alexander Rochling, MD"
"Orthopaedic Surgery","Dubuque","UIHC Peds Specialty Clinic - Dubuque","42.50551","-90.66731","1/MO","UIHC - Dept of Ortho Surgery & Rehab","Iowa City","41.66124","-91.53013","Heather Renee Kowalski, MD"
"Pediatric - Child Neurology","Dubuque","UIHC Peds Specialty Clinic - Dubuque","42.50551","-90.66731","<1/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Katherine D Mathews, MD"
"Pediatric - Child Neurology","Dubuque","UIHC Peds Specialty Clinic - Dubuque","42.50551","-90.66731","1/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Leah Marie Zhorne, MD"
"Pediatric Cardiology","Dubuque","UIHC Peds Specialty Clinic - Dubuque","42.50551","-90.66731","1/WK","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Thomas D Scholz, MD"
"Pediatric Endocrinology","Dubuque","UIHC Peds Specialty Clinic - Dubuque","42.50551","-90.66731","1/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Eirene Georgia Alexandrou, MD"
"Pediatric Gastroenterology","Dubuque","UIHC Peds Specialty Clinic - Dubuque","42.50551","-90.66731","2/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Dawn R Ebach, MD"
"Pediatric Medical Genetics","Dubuque","UIHC Peds Specialty Clinic - Dubuque","42.50551","-90.66731","<1/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","John Andrew Bernat, MD"
"Pediatric Medical Genetics","Dubuque","UIHC Peds Specialty Clinic - Dubuque","42.50551","-90.66731","<1/MO","UIHC - Stead Family Dept of Pediatrics","Iowa City","41.66124","-91.53013","Amy Rebecca Calhoun, MD"
"Pediatric Medical Genetics","Dubuque","UIHC Peds Specialty Clinic - Dubuque","42.50551","-90.66731","<1/MO","UIHC Pediatrics - IRL","Coralville","41.67268","-91.57777","Nicole Pauline Safina, MD"
"Dermatology","Dyersville","MercyOne Health Center - Dyersville","42.4846","-91.12153","2/MO","Medical Associates Clinic - West","Dubuque","42.50551","-90.66731","Stephen E Hoy, MD"
"General Surgery","Dyersville","MercyOne Health Center - Dyersville","42.4846","-91.12153","1/MO","Medical Associates Clinic - East","Dubuque","42.50551","-90.66731","Bruce Alan Obbink, MD"
"Otolaryngology","Dyersville","MercyOne Health Center - Dyersville","42.4846","-91.12153","1/MO","Medical Associates Clinic - East","Dubuque","42.50551","-90.66731","Charles Allen Parker, MD"
"Cardiovascular Disease","Elkader","MercyOne Elkader Medical Center","42.85457","-91.40445","1/MO","Medical Associates Clinic - East","Dubuque","42.50551","-90.66731","Rami Sabbah Eltibi, MD"
"Cardiovascular Disease","Elkader","MercyOne Elkader Medical Center","42.85457","-91.40445","1/MO","Medical Associates Clinic - East","Dubuque","42.50551","-90.66731","Ramanujam S Ramabadran, MD"
"Gastroenterology","Elkader","MercyOne Elkader Medical Center","42.85457","-91.40445","1/MO","Medical Associates Clinic - Dyersville","Dyersville","42.4846","-91.12153","Joseph John Snyder, DO"
"Cardiovascular Disease","Emmetsburg","Palo Alto County Health System","43.1129","-94.68144","1/WK","Mason City Clinic PC","Mason City","43.15362","-93.20104","Byron T Beasley, MD"
"Cardiovascular Disease","Emmetsburg","Palo Alto County Health System","43.1129","-94.68144","1/WK","Mason City Clinic PC","Mason City","43.15362","-93.20104","Denisa Lavinia Hagau, MD"
"General Surgery","Emmetsburg","Palo Alto County Health System","43.1129","-94.68144","1/WK","Northwest Iowa Surgeons","Spencer","43.14137","-95.1447","Jeffre Duane Helmink, MD"
"General Surgery","Emmetsburg","Palo Alto County Health System","43.1129","-94.68144","1/WK","Northwest Iowa Surgeons","Spencer","43.14137","-95.1447","Jason Robert Keonin, MD"
"General Surgery","Emmetsburg","Palo Alto County Health System","43.1129","-94.68144","1/WK","Northwest Iowa Surgeons","Spencer","43.14137","-95.1447","Jaren Heath Ricker, MD"
"General Surgery","Emmetsburg","Palo Alto County Health System","43.1129","-94.68144","1/WK","Northwest Iowa Surgeons","Spencer","43.14137","-95.1447","Patrick James Slattery, MD"
"Ophthalmology","Emmetsburg","Palo Alto County Health System","43.1129","-94.68144","1/MO","Wolfe Eye Clinic - Spencer","Spencer","43.14137","-95.1447","Stephen Paul Fox, MD"
"Orthopaedic Surgery","Emmetsburg","Palo Alto County Health System","43.1129","-94.68144","1/WK","NW IA Bone, Joint & Sports - Spencer","Spencer","43.14137","-95.1447","Jason C Hough, DO"
"Otolaryngology","Emmetsburg","Palo Alto County Health System","43.1129","-94.68144","2/MO","Mason City Clinic PC","Mason City","43.15362","-93.20104","Timothy M Dettmer, MD"
"Urology","Emmetsburg","Palo Alto County Health System","43.1129","-94.68144","1/MO","Mason City Clinic PC","Mason City","43.15362","-93.20104","Steven Patrick Thoma, MD"
"Cardiovascular Disease","Estherville","Avera Holy Family Health","43.40206","-94.83272","2/MO","North Central Heart Institute","Sioux Falls, SD","43.54731","-96.7313","Paul L Carpenter, MD"
"General Surgery","Estherville","Avera Holy Family Health","43.40206","-94.83272","1/WK","Northwest Iowa Surgeons","Spencer","43.14137","-95.1447","Jaren Heath Ricker, MD"
"General Surgery","Estherville","Avera Holy Family Health","43.40206","-94.83272","1/WK","Northwest Iowa Surgeons","Spencer","43.14137","-95.1447","Patrick James Slattery, MD"
"Orthopaedic Surgery","Estherville","Avera Holy Family Health","43.40206","-94.83272","1/WK","NW IA Bone, Joint & Sports - Spencer","Spencer","43.14137","-95.1447","John A Leupold, MD"
"Allergy & Immunology","Fairfield","Jefferson County Health Center","41.00663","-91.96505","1/MO","Allergy Asthma & Sinus Center PC","West Des Moines","41.5755","-93.71303","Ravinder K Agarwal, MD"
"Cardiovascular Disease","Fairfield","Jefferson County Health Center","41.00663","-91.96505","2/MO","UIHC Heart and Vein Center - IRL","Coralville","41.67268","-91.57777","Nicholas E Walker, MD"
"Electrophysiology Clinical Cardiac","Fairfield","Jefferson County Health Center","41.00663","-91.96505","1/MO","UIHC Heart and Vein Center - IRL","Coralville","41.67268","-91.57777","James R Hopson, MD"
"Neurology","Fairfield","Jefferson County Health Center","41.00663","-91.96505","1/WK","Neurology & Sleep Clinic - Burlington","West Burlington","40.82603","-91.16163","Anil K Dhuna, MD"
"Neurology","Fairfield","Jefferson County Health Center","41.00663","-91.96505","1/WK","Neurology & Sleep Clinic - Burlington","West Burlington","40.82603","-91.16163","Rahul Khanna, MD"
"Otolaryngology","Fairfield","Jefferson County Health Center","41.00663","-91.96505","1/WK","ENT Medical Services, PC","Iowa City","41.66124","-91.53013","Daniel R Olney, MD"
"Rheumatology","Fairfield","Jefferson County Health Center","41.00663","-91.96505","2/MO","Dr Robert W Jackson","Kirksville, MO","40.19472","-92.58205","Robert W Jackson, DO"
"Undersea & Hyperbaric Medicine","Fairfield","Jefferson County Health Center","41.00663","-91.96505","1/WK","ORHC Wound Care & Hyperbaric Center","Ottumwa","41.02325","-92.41326","Jessica Ann Hicks, DO"
"Hematology-Oncology","Fort Dodge","UnityPoint Health Trinity - Fort Dodge","42.50117","-94.16939","3+/MO","Mission Cancer + Blood - John Stoddard","Des Moines","41.58882","-93.62031","Daulath Singh, MD"
"Interventional Cardiology","Fort Dodge","UnityPoint Health Trinity - Fort Dodge","42.50117","-94.16939","1/WK","Iowa Heart Center - Fort Dodge","Fort Dodge","42.50117","-94.16939","Joseph J Cookman, DO"
"Medical Oncology","Fort Dodge","UnityPoint Health Trinity - Fort Dodge","42.50117","-94.16939","1/WK","McFarland - William Bliss Cancer Center","Ames","42.0268","-93.62018","Sreenath Kodali, MD"
"Medical Oncology","Fort Dodge","UnityPoint Health Trinity - Fort Dodge","42.50117","-94.16939","1/WK","McFarland - William Bliss Cancer Center","Ames","42.0268","-93.62018","Venkatesh Krishnamurthy Rudrapatna, MD"
"Ophthalmology","Fort Dodge","UnityPoint Health Trinity - Fort Dodge","42.50117","-94.16939","2/MO","Wolfe Eye Clinic - Ames","Ames","42.0268","-93.62018","Steven Oscar Anderson, MD"
"Otolaryngology","Fort Dodge","UnityPoint Health Trinity - Fort Dodge","42.50117","-94.16939","4+/MO","UnityPoint ENT - United Med Park","Waterloo","42.49347","-92.34364","Felix Edward Gonzales, MD"
"Radiation Oncology","Fort Dodge","UnityPoint Health Trinity - Fort Dodge","42.50117","-94.16939","3+/WK","McFarland - William Bliss Cancer Center","Ames","42.0268","-93.62018","John George Hardie, MD"
"Radiation Oncology","Fort Dodge","UnityPoint Health Trinity - Fort Dodge","42.50117","-94.16939","3+/WK","McFarland - William Bliss Cancer Center","Ames","42.0268","-93.62018","Lyman Shane Hopkins, MD"
"Urology","Fort Dodge","UnityPoint Health Trinity - Fort Dodge","42.50117","-94.16939","2/MO","UnityPoint Clinic Urology - Waterloo","Waterloo","42.49347","-92.34364","Eric David Andresen, MD"
"Urology","Fort Dodge","UnityPoint Health Trinity - Fort Dodge","42.50117","-94.16939","2/MO","UnityPoint Clinic Urology - Waterloo","Waterloo","42.49347","-92.34364","Eric John Askeland, MD"
"Urology","Fort Dodge","UnityPoint Health Trinity - Fort Dodge","42.50117","-94.16939","2/MO","UnityPoint Clinic Urology - Waterloo","Waterloo","42.49347","-92.34364","Mark Richard Newton, MD"
"Vascular Surgery","Fort Dodge","UnityPoint Health Trinity - Fort Dodge","42.50117","-94.16939","1/WK","Iowa Clinic Cardiovascular - West Des Moines","West Des Moines","41.5755","-93.71303","Dennis M Fry, MD"
"Cardiovascular Disease","Fort Madison","Southeast Iowa Regional Medical Center - Fort Madison","40.63002","-91.31349","2/MO","UIHC Heart and Vein Center - IRL","Coralville","41.67268","-91.57777","Nicholas E Walker, MD"
"Cardiovascular Disease","Fort Madison","Southeast Iowa Regional Medical Center - Fort Madison","40.63002","-91.31349","1/WK","UIHC - Dept of Internal Medicine","Iowa City","41.66124","-91.53013","Ily Kristine Yumul, MD"
"Electrophysiology Clinical Cardiac","Fort Madison","Southeast Iowa Regional Medical Center - Fort Madison","40.63002","-91.31349","1/WK","UIHC Heart and Vein Center - IRL","Coralville","41.67268","-91.57777","James R Hopson, MD"
"Ophthalmology","Garner","Family Eye Care Center","43.10013","-93.60268","1/MO","North Iowa Eye Clinic","Mason City","43.15362","-93.20104","Melissa Marie Summerfield, MD"
"Pain Medicine Anes","Garner","Iowa Specialty Clinic - Garner","43.10013","-93.60268","1/WK","Central States Pain Clinic","West Des Moines","41.5755","-93.71303","Christian P Ledet, MD"
"Cardiovascular Disease","Greenfield","Adair County Memorial Hospital","41.4114","-93.64994","2/MO","Iowa Heart Center - West Des Moines","West Des Moines","41.5755","-93.71303","Shakuntala V Advani, MD"
