specialty,community,clinic_site,frequency,group,point_of_origin,consultant
Otolaryngology,Chariton,Lucas County Health Center,1/MO,Iowa ENT Center - West Des Moines,West Des Moines,"Simon K Wright, MD"
Physical Medicine & Rehab,Chariton,Lucas County Health Center,1/MO,Iowa Clinic - Physical Med/Podiatry,West Des Moines,"Todd C Troll, MD"
Pulmonary Disease,Chariton,Lucas County Health Center,1/MO,Iowa Clinic Pulmonary,West Des Moines,"Daniel Lee Dodge, DO"
Pulmonary Disease,Chariton,Lucas County Health Center,1/MO,Iowa Clinic Pulmonary,West Des Moines,"Amerlon L Enriquez, MD"
Vascular Surgery,Chariton,Lucas County Health Center,1/MO,Iowa Clinic Cardiovascular - West Des Moines,West Des Moines,"Eric Christopher Scott, MD"
Cardiovascular Disease,Charles City,Floyd County Medical Center,1/MO,Mason City Clinic PC,Mason City,"Byron T Beasley, MD"
Cardiovascular Disease,Charles City,Floyd County Medical Center,1/MO,Mason City Clinic PC,Mason City,"Sepideh Sahar Darbandi, DO"
Cardiovascular Disease,Charles City,Floyd County Medical Center,1/MO,Mason City Clinic PC,Mason City,"Radu Hagau, MD"
Nephrology,Charles City,Floyd County Medical Center,1/MO,MercyOne North Iowa Specialty Care - Mason City,Mason City,"Yuvaraj Thangaraj, MD"
Orthopaedic Surgery,Charles City,Floyd County Medical Center,1/WK,Mason City Clinic PC,Mason City,"Timothy A Gibbons, MD"
Orthopaedic Surgery,Charles City,Floyd County Medical Center,1/WK,Mason City Clinic PC,Mason City,"Eric J Potthoff, DO"
Otolaryngology,Charles City,Floyd County Medical Center,1/WK,Mason City Clinic PC,Mason City,"Timothy M Dettmer, MD"
Pain Medicine Anes,Charles City,Floyd County Medical Center,2/MO,Mason City Clinic PC,Mason City,"Ronald Francis Kloc, DO"
Urology,Charles City,Floyd County Medical Center,2/MO,Mason City Clinic PC,Mason City,"Timothy L Mulholland, MD"
Urology,Charles City,Floyd County Medical Center,2/MO,Mason City Clinic PC,Mason City,"Kevin R Rier, MD"
Cardiovascular Disease,Cherokee,Cherokee Regional Medical Center,2/MO,UnityPoint - Sioux City Cardiovascular Associates,Sioux City,"Jon A Peacock, MD"
Dermatology,Cherokee,Cherokee Regional Medical Center,1/MO,CNOS - Sioux City,Sioux City,"Raymond Takashi Kuwahara, MD"
General Surgery,Cherokee,Cherokee Regional Medical Center,2/MO,Buena Vista General Surgery,Storm Lake,"John Gary Armstrong, MD"
General Surgery,Cherokee,Cherokee Regional Medical Center,1/WK,Buena Vista General Surgery,Storm Lake,"Jason Michael Dierking, MD"
Maternal & Fetal Medicine,Cherokee,Cherokee Regional Medical Center,1/MO,UnityPoint Clinic Maternal-Fetal Med,Sioux City,"Alfred D Fleming, MD"
Medical Oncology,Cherokee,Cherokee Regional Medical Center,2/MO,June E Nylen Cancer Center,Sioux City,"Chandana Javvaji, MD"
Nephrology,Cherokee,Cherokee Regional Medical Center,1/MO,Renal Associates,"Dakota Dunes, SD","Euclid Jerome St. Hill, MD"
Neurological Surgery,Cherokee,Cherokee Regional Medical Center,2/MO,"CNOS, PC","Dakota Dunes, SD","Matthew R Johnson, MD"
Neurology,Cherokee,Cherokee Regional Medical Center,2/MO,CHI Health Omaha,"Omaha, NE","Charles Robert Adams, MD"
Obstetrics & Gynecology,Cherokee,Cherokee Regional Medical Center,3/MO,Siouxland OB & Gyn PC,Sioux City,"Chandler Alexandra Kasuske, MD"
Orthopaedic Surgery,Cherokee,Cherokee Regional Medical Center,1/WK,"NW IA Bone, Joint & Sports - Storm Lake",Storm Lake,"Seth William Harrer, MD"
Orthopaedic Surgery,Cherokee,Cherokee Regional Medical Center,1/WK,"CNOS, PC","Dakota Dunes, SD","Daniel Richard Nelson, MD"
Otolaryngology,Cherokee,Cherokee Regional Medical Center,1/MO,ENT Consultants,"Dakota Dunes, SD","Reason A Ford, MD"
Otolaryngology,Cherokee,Cherokee Regional Medical Center,1/WK,NW Iowa Ear Nose & Throat Spec,Spencer,"Daniel L Jorgensen, MD"
Pulmonary Disease,Cherokee,Cherokee Regional Medical Center,<1/MO,UnityPoint Clinic Pulmonary & Critical Care,Sioux City,"Jitendrakumar S Gupta, MD"
Urology,Cherokee,Cherokee Regional Medical Center,3/MO,Northwest Iowa Urologists,Spencer,"Charlotte Jean Caligiuri, DO"
Vascular Surgery,Cherokee,Cherokee Regional Medical Center,1/MO,Vascular & Interventional Specialists,"Dakota Dunes, SD","Chad Roger Laurich, MD"
Allergy & Immunology,Clarinda,Clarinda Regional Health Center,1/MO,Advanced ENT - Omaha,"Bellevue, NE","Mark Douglas Frey, MD"
Cardiovascular Disease,Clarinda,Clarinda Regional Health Center,2/MO,Bryan LGH Heart Institute,"Lincoln, NE","Mathue Michael Baker, MD"
Cardiovascular Disease,Clarinda,Clarinda Regional Health Center,2/MO,Bryan LGH Heart Institute,"Lincoln, NE","Christopher Balwanz, MD"
Obstetrics & Gynecology,Clarinda,Clarinda Regional Health Center,2/MO,Shenandoah Physicians Clinic,Shenandoah,"Martee Rose MacLeod-Kozal, MD"
Ophthalmology,Clarinda,Clarinda Regional Health Center,1/MO,Midwest EyeCare,"Omaha, NE","Martin William Mizener, MD"
Orthopaedic Surgery,Clarinda,Clarinda Regional Health Center,2/MO,Miller Orthopedic Specialists,Council Bluffs,"Thomas M Atteberry, MD"
Orthopaedic Surgery,Clarinda,Clarinda Regional Health Center,2/MO,Miller Orthopedic Specialists,Council Bluffs,"Caliste Iv Hsu, MD"
Orthopaedic Surgery,Clarinda,Clarinda Regional Health Center,1/MO,Miller Orthopedic Specialists,Council Bluffs,"Thomas Frederick Satterly, DO"
Otolaryngology,Clarinda,Clarinda Regional Health Center,1/MO,ENT Specialists PC,"Omaha, NE","Patrick C Farrell, MD"
Psychiatry,Clarinda,Clarinda Regional Health Center,1/MO,UNMC Psychiatry Dept,"Omaha, NE","Jennifer Kathleen McWilliams, MD"
Urology,Clarinda,Clarinda Regional Health Center,2/MO,The Urology Center PC,"Omaha, NE","Stephen S Lim, MD"
Urology,Clarinda,Clarinda Regional Health Center,2/MO,The Urology Center PC,"Omaha, NE","Anthony Daniel Oberle, MD"
Allergy & Immunology,Clarion,Iowa Specialty Hospital - Clarion,1/MO,McFarland Clinic - Duff Ave,Ames,"Jason Allen Cascio, MD"
Cardiovascular Disease,Clarion,Iowa Specialty Hospital - Clarion,1/WK,Mason City Clinic PC,Mason City,"Muhammad Anwar Al Sharif, DO"
Cardiovascular Disease,Clarion,Iowa Specialty Hospital - Clarion,1/WK,Mason City Clinic PC,Mason City,"Byron T Beasley, MD"
General Surgery,Clarion,Iowa Specialty Hospital - Clarion,1/WK,UnityPoint Surgery Center - Fort Dodge,Fort Dodge,"Maria Laura Miegge Viera, MD"
Hand Surgery,Clarion,Iowa Specialty Hospital - Clarion,1/MO,Mason City Clinic PC,Mason City,"Rene F Recinos, MD"
Obstetrics & Gynecology,Clarion,Iowa Specialty Hospital - Clarion,1/WK,Gabrielson Clinic for Women - Clear Lake,Clear Lake,"Emily Anne Hill-Engstler, DO"
Orthopaedic Surgery,Clarion,Iowa Specialty Hospital - Clarion,1/WK,Orthopaedic Specialist / Fort Dodge Clinic,Fort Dodge,"Emile C Li, MD"
Orthopaedic Surgery,Clarion,Iowa Specialty Hospital - Clarion,1/WK,Orthopaedic Specialist / Fort Dodge Clinic,Fort Dodge,"Mark Kamal Palit, MD"
Urology,Clarion,Iowa Specialty Hospital - Clarion,2/MO,Mason City Clinic PC,Mason City,"Kevin R Rier, MD"
Cardiovascular Disease,Clinton,MercyOne North Health Plaza - Clinton,1/MO,UIHC - Dept of Internal Medicine,Iowa City,"Denice M Hodgson Zingman, MD"
General Surgery,Clinton,MercyOne Specialty Clinic - Clinton,2/MO,Genesis Surgical Associates,"Silvis, IL","Benjamin David Acton, DO"
General Surgery,Clinton,MercyOne Specialty Clinic - Clinton,1/WK,Genesis Surgical Associates,"Silvis, IL","Nathan Michael Fierce, DO"
Orthopaedic Surgery,Clinton,"Ortho Specialists, PC",3+/WK,Orthopaedic Specialists PC,Davenport,"Kristyn Marie Darmafall, MD"
Orthopaedic Surgery,Clinton,"Ortho Specialists, PC",3+/WK,Orthopaedic Specialists PC,Davenport,"Michael Dolphin, DO"
Orthopaedic Surgery,Clinton,"Ortho Specialists, PC",3+/WK,Orthopaedic Specialists PC,Davenport,"John M Hoffman, MD"
Orthopaedic Surgery,Clinton,"Ortho Specialists, PC",3+/WK,Orthopaedic Specialists PC,Davenport,"Ericka A Lawler, MD"
Orthopaedic Surgery,Clinton,"Ortho Specialists, PC",3+/WK,Orthopaedic Specialists PC,Davenport,"Tuvi Mendel, MD"
Orthopaedic Surgery,Clinton,"Ortho Specialists, PC",3+/WK,Orthopaedic Specialists PC,Davenport,"Craig Edward Moe, MD"
Ophthalmology,Clinton,Virdi Eye Clinic - Clinton,2/MO,Virdi Eye Clinic - Davenport,Davenport,"Navaneet SC Borisuth, MD"
Cardiovascular Disease,Corning,CHI Health Mercy - Corning,1/WK,CHI Health Cardiology,"Omaha, NE","Michael G Del Core, MD"
Hematology-Oncology,Corning,CHI Health Mercy - Corning,2/MO,Mission Cancer + Blood - John Stoddard,Des Moines,"Seema Harichand-Herdt, MD"
Obstetrics & Gynecology,Corning,CHI Health Mercy - Corning,2/MO,Methodist Phy Clinic OB/GYN - Council Bluffs,Council Bluffs,"Norman E Ferrer, MD"
Obstetrics & Gynecology,Corning,CHI Health Mercy - Corning,2/MO,Atlantic Medical Center / Walk In Clinic,Atlantic,"Marcela Pineda, MD"
Obstetrics & Gynecology,Corning,CHI Health Mercy - Corning,1/MO,CHI Mercy Clinic Women's Health,Council Bluffs,"Meaghan Marie Shanahan, MD"
Orthopaedic Surgery,Corning,CHI Health Mercy - Corning,2/MO,Omaha Ortho & Sports Med PC,"Omaha, NE","Michael John Coffey, MD"
Otolaryngology,Corning,CHI Health Mercy - Corning,1/MO,Wellendorf ENT,Carroll,"Tracey G Wellendorf, MD"
Allergy & Immunology,Corydon,Wayne County Hospital,1/MO,Allergy Asthma & Sinus Center PC,West Des Moines,"Ravinder K Agarwal, MD"
Cardiovascular Disease,Corydon,Wayne County Hospital,1/MO,Iowa Heart Center - Mercy Medical Center,Des Moines,"Martin R Aronow, DO"
Nephrology,Corydon,Wayne County Hospital,1/MO,Associates in Kidney Care PLC,Des Moines,"Patrick Co Chua, MD"
Nephrology,Corydon,Wayne County Hospital,1/MO,Iowa Kidney Physicians - Med Plaza Office,Des Moines,"Ivy Reyes Melgarejo, MD"
Ophthalmology,Corydon,Wayne County Hospital,1/MO,Des Moines Eye Surgeons,West Des Moines,"Andrew Clyde Gavle Steffensmeier, MD"
Otolaryngology,Corydon,Wayne County Hospital,1/MO,Iowa ENT Center - West Des Moines,West Des Moines,"Timothy C Simplot, MD"
Urology,Corydon,Wayne County Hospital,1/WK,Lakeview Center for Urology,West Des Moines,"Fawad S Zafar, MD"
Orthopaedic Surgery,Council Bluffs,MD West One - Council Bluffs,1/MO,MD West One,"Omaha, NE","Michael Anthony Del Core, MD"
Colon & Rectal Surgery,Council Bluffs,Methodist Phy Clinic Colon & Rectal Surgery,1/WK,Methodist Health Systems,"Omaha, NE","Austin Douglas Person, MD"
Colon & Rectal Surgery,Council Bluffs,Methodist Phy Clinic Colon & Rectal Surgery,1/WK,Methodist Health Systems,"Omaha, NE","Zachary Hovis Torgersen, MD"
Infectious Disease,Council Bluffs,Methodist Phy Clinic Internal Med,2/WK,Infectious Disease Epidemiology Assoc,"Omaha, NE","Jeffrey Scott Sartin, MD"
General Surgery,Cresco,Regional Health Services of Howard County,2/WK,Gundersen Medical Clinic - Decorah,Decorah,"Michael Francis LaBelle, MD"
Ophthalmology,Cresco,Regional Health Services of Howard County,1/MO,Wolfe Eye Clinic - Cedar Falls,Cedar Falls,"Benjamin L Mason, MD"
Orthopaedic Surgery,Cresco,Regional Health Services of Howard County,1/WK,Mason City Clinic PC,Mason City,"Richard Elmer Rattay, MD"
Otolaryngology,Cresco,Regional Health Services of Howard County,2/MO,Mason City Clinic PC,Mason City,"Henry Richard Diggelmann, MD"
Urology,Cresco,Regional Health Services of Howard County,1/MO,Mason City Clinic PC,Mason City,"Christopher Edelen Adams, MD"
Ophthalmology,Creston,Creston Vision Clinic,1/MO,Des Moines Eye Surgeons,West Des Moines,"Matthew Evan Raecker, MD"
Allergy & Immunology,Creston,Greater Regional Medical Center,1/MO,Allergy Asthma & Sinus Center PC,West Des Moines,"Ravinder K Agarwal, MD"
Cardiovascular Disease,Creston,Greater Regional Medical Center,2/WK,Iowa Clinic Cardiovascular - West Des Moines,West Des Moines,"David K Lemon, MD"
Hematology-Oncology,Creston,Greater Regional Medical Center,2/WK,MercyOne Cancer Center - Radiation Oncology,Des Moines,"Adam Daniel Gliniewicz, MD"
Hematology-Oncology,Creston,Greater Regional Medical Center,2/WK,MercyOne Cancer Center - Radiation Oncology,Des Moines,"John M Martens, MD"
Hematology-Oncology,Creston,Greater Regional Medical Center,2/WK,MercyOne Cancer Center - Radiation Oncology,Des Moines,"George H Voynov, MD"
Nephrology,Creston,Greater Regional Medical Center,2/MO,Associates in Kidney Care PLC,Des Moines,"Prem K G Chandran, MD"
Otolaryngology,Creston,Greater Regional Medical Center,1/WK,Iowa ENT Center - West Des Moines,West Des Moines,"Arun Kumar Gupta, DO"
Physical Medicine & Rehab,Creston,Greater Regional Medical Center,1/WK,Iowa Clinic - Physical Med/Podiatry,West Des Moines,"Todd C Troll, MD"
Radiation Oncology,Creston,Greater Regional Medical Center,2/WK,MercyOne Cancer Center - Radiation Oncology,Des Moines,"Truston J Bodine, MD"
Radiation Oncology,Creston,Greater Regional Medical Center,2/WK,MercyOne Cancer Center - Radiation Oncology,Des Moines,"Emily Merfeld, MD"
Dermatology,Dakota Dunes,"CNOS, PC",2/MO,Dunes Dermatology,"Dakota Dunes, SD","Inderjit Singh Chabra, MD"
Cardiovascular Disease,Davenport,Cardiovascular Medicine PC,1/MO,UIHC - Dept of Internal Medicine,Iowa City,"Linda Marie Cadaret, MD"
Gastroenterology,De Witt,Genesis Medical Center - DeWitt,<1/MO,Genesis Gastroenterology Associates,Bettendorf,"Young B Huh, MD"
General Surgery,De Witt,Genesis Medical Center - DeWitt,1/WK,Genesis Surgical Associates,"Silvis, IL","Michael Allen Burchett, DO"
General Surgery,De Witt,Genesis Medical Center - DeWitt,1/WK,Genesis Surgical Associates,"Silvis, IL","Andrew Francis Philip, MD"
General Surgery,De Witt,Genesis Medical Center - DeWitt,1/MO,Genesis Surgical Associates,"Silvis, IL","Angela Kay Stork, MD"
Ophthalmology,De Witt,Genesis Medical Center - DeWitt,1/MO,Fox Eye Laser Vision Inst. PC,Cedar Rapids,"Lee D Birchansky, MD"
Allergy & Immunology,Decorah,Gundersen Medical Clinic - Decorah,2/MO,Gundersen Medical Center,"La Crosse, WI","Todd A Mahr, MD"
Cardiovascular Disease,Decorah,Gundersen Medical Clinic - Decorah,2/WK,Gundersen Health System,"La Crosse, WI","Wah Wah Htun, MD"
Gastroenterology,Decorah,Gundersen Medical Clinic - Decorah,2/MO,Gundersen Medical Center,"La Crosse, WI","James Lee Groskreutz, MD"
Neurology,Decorah,Gundersen Medical Clinic - Decorah,1/MO,Gundersen Medical Center,"La Crosse, WI","Rachel A Biemiller, MD"
Obstetrics & Gynecology,Decorah,Gundersen Medical Clinic - Decorah,1/MO,Gundersen Medical Center,"La Crosse, WI","Alexa Rose Lowry, MD"
Obstetrics & Gynecology,Decorah,Gundersen Medical Clinic - Decorah,1/MO,Gundersen Medical Center,"La Crosse, WI","Heather Lynn Stief, MD"
Ophthalmology,Decorah,Gundersen Medical Clinic - Decorah,2/MO,Gundersen Medical Center,"La Crosse, WI","Kristie K Shappell, MD"
Orthopaedic Surgery,Decorah,Gundersen Medical Clinic - Decorah,1/MO,Gundersen Medical Center,"La Crosse, WI","Jonathan Bradley Peterson, MD"
Otolaryngology,Decorah,Gundersen Medical Clinic - Decorah,3/MO,Gundersen Health System,"La Crosse, WI","Mark James Ringstrom, MD"
Vascular Surgery,Decorah,Gundersen Medical Clinic - Decorah,1/MO,Gundersen Medical Center,"La Crosse, WI","Laura Alice Peterson, MD"
Vascular Surgery,Decorah,Gundersen Medical Clinic - Decorah,1/MO,Gundersen Health System,"La Crosse, WI","Irina Shakhnovich, MD"
Cardiovascular Disease,Decorah,WinnMed Clinic - Decorah,3/MO,Mayo Clinic,"Rochester, MN","David A Foley, MD"
Medical Oncology,Decorah,WinnMed Clinic - Decorah,2/MO,Mayo Cl Hlth Sys Franciscan & Skemp,"La Crosse, WI","Paula Gill, MD"
Ophthalmology,Decorah,WinnMed Clinic - Decorah,PRN,Mayo Clinic,"Rochester, MN","Sunil Surendra Khanna, MD"
Urology,Decorah,WinnMed Clinic - Decorah,2/MO,Mayo Clinic,"Rochester, MN","Ross Anthony Avant, MD"
Urology,Decorah,WinnMed Clinic - Decorah,2/MO,Mayo Clinic,"Rochester, MN","Adam Ray Miller, MD"
Cardiovascular Disease,Denison,Crawford County Memorial Hospital,2/MO,CHI Health Cardiology,"Omaha, NE","Ahmed Salah Aboeata, MD"
Cardiovascular Disease,Denison,Crawford County Memorial Hospital,2/MO,Methodist Phyisican Clinic Heart Care,Council Bluffs,"Robert W Armbruster, MD"
Cardiovascular Disease,Denison,Crawford County Memorial Hospital,3/MO,CHI Health Cardiology,"Omaha, NE","Atul A Ramachandran, MD"
Dermatology,Denison,Crawford County Memorial Hospital,2/MO,Dr Douglas J Ramos,"Omaha, NE","Douglas J Ramos, MD"
Endocrinology Diabetes Metaboli,Denison,Crawford County Memorial Hospital,2/MO,University of Nebraska Med Ctr,"Omaha, NE","Sydney Lynn Blount, MD"
Endocrinology Diabetes Metaboli,Denison,Crawford County Memorial Hospital,2/MO,Diabetes Center - Specialty Pavillion,"Omaha, NE","Leslie Anne Eiland, MD"
Hematology,Denison,Crawford County Memorial Hospital,1/MO,University of Nebraska Med Ctr,"Omaha, NE","Alex Benjamin Nester, MD"
Nephrology,Denison,Crawford County Memorial Hospital,2/MO,Hawarden Clinic,Hawarden,"David Solomon de Guzman Chua, MD"
Nephrology,Denison,Crawford County Memorial Hospital,2/MO,Renal Associates,"Dakota Dunes, SD","Jerold Clancy Erlandson, MD"
Neurological Surgery,Denison,Crawford County Memorial Hospital,1/MO,Doctor's Building North,"Omaha, NE","Ric Edee Jensen, MD"
Neurology,Denison,Crawford County Memorial Hospital,1/MO,"CNOS, PC","Dakota Dunes, SD","William Joseph Andrews, MD"
Ophthalmology,Denison,Crawford County Memorial Hospital,1/MO,Omaha Eye & Laser Institute,"Omaha, NE","Sao Jang Liu, MD"
Ophthalmology,Denison,Crawford County Memorial Hospital,1/MO,Omaha Eye & Laser Institute,"Omaha, NE","William James Thomas, MD"
Otolaryngology,Denison,Crawford County Memorial Hospital,2/MO,Family ENT Clinic,"Omaha, NE","Paul S Sherrerd, MD"
Pulmonary Disease,Denison,Crawford County Memorial Hospital,1/MO,UnityPoint Clinic Pulmonary & Critical Care,Sioux City,"Jitendrakumar S Gupta, MD"
Pulmonary Disease,Denison,Crawford County Memorial Hospital,1/MO,UnityPoint Clinic Pulmonary & Critical Care,Sioux City,"Sandeep Singh Gupta, MD"
Urology,Denison,Crawford County Memorial Hospital,2/MO,Siouxland Urological Assoc,"Dakota Dunes, SD","Andrew Elliott Bourne, MD"
Urology,Denison,Crawford County Memorial Hospital,2/MO,CHI Health Creighton University Med Cent,"Omaha, NE","Dane English Klett, MD"
Vascular Surgery,Denison,Crawford County Memorial Hospital,1/MO,University of Nebraska Med Ctr,"Omaha, NE","Jason Rhede Cook, MD"
Vascular Surgery,Denison,Crawford County Memorial Hospital,1/MO,Peripheral & Vascular Surgery,"Omaha, NE","Tammy A Ramos, MD"
Cardiovascular Disease,Des Moines,Iowa Clinic Cardiovascular - Plaza II,1/MO,UIHC - Dept of Internal Medicine,Iowa City,"Linda Marie Cadaret, MD"
Pediatric Cardiology,Des Moines,Pediatric Cardiology PC,1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Ian H Law, MD"
Transplant Hepatology,Des Moines,UnityPoint Clinic Center for Liver Disease,1/WK,University of Nebraska Med Ctr,"Omaha, NE","Marco Antonio Olivera-Martinez, MD"
Transplant Hepatology,Des Moines,UnityPoint Clinic Center for Liver Disease,1/WK,University of Nebraska Med Ctr,"Omaha, NE","Fedja Alexander Rochling, MD"
Orthopaedic Surgery,Dubuque,UIHC Peds Specialty Clinic - Dubuque,1/MO,UIHC - Dept of Ortho Surgery & Rehab,Iowa City,"Heather Renee Kowalski, MD"
Pediatric - Child Neurology,Dubuque,UIHC Peds Specialty Clinic - Dubuque,<1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Katherine D Mathews, MD"
Pediatric - Child Neurology,Dubuque,UIHC Peds Specialty Clinic - Dubuque,1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Leah Marie Zhorne, MD"
Pediatric Cardiology,Dubuque,UIHC Peds Specialty Clinic - Dubuque,1/WK,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Thomas D Scholz, MD"
Pediatric Endocrinology,Dubuque,UIHC Peds Specialty Clinic - Dubuque,1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Eirene Georgia Alexandrou, MD"
Pediatric Gastroenterology,Dubuque,UIHC Peds Specialty Clinic - Dubuque,2/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Dawn R Ebach, MD"
Pediatric Medical Genetics,Dubuque,UIHC Peds Specialty Clinic - Dubuque,<1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"John Andrew Bernat, MD"
Pediatric Medical Genetics,Dubuque,UIHC Peds Specialty Clinic - Dubuque,<1/MO,UIHC - Stead Family Dept of Pediatrics,Iowa City,"Amy Rebecca Calhoun, MD"
Pediatric Medical Genetics,Dubuque,UIHC Peds Specialty Clinic - Dubuque,<1/MO,UIHC Pediatrics - IRL,Coralville,"Nicole Pauline Safina, MD"
Dermatology,Dyersville,MercyOne Health Center - Dyersville,2/MO,Medical Associates Clinic - West,Dubuque,"Stephen E Hoy, MD"
General Surgery,Dyersville,MercyOne Health Center - Dyersville,1/MO,Medical Associates Clinic - East,Dubuque,"Bruce Alan Obbink, MD"
Otolaryngology,Dyersville,MercyOne Health Center - Dyersville,1/MO,Medical Associates Clinic - East,Dubuque,"Charles Allen Parker, MD"
Cardiovascular Disease,Elkader,MercyOne Elkader Medical Center,1/MO,Medical Associates Clinic - East,Dubuque,"Rami Sabbah Eltibi, MD"
Cardiovascular Disease,Elkader,MercyOne Elkader Medical Center,1/MO,Medical Associates Clinic - East,Dubuque,"Ramanujam S Ramabadran, MD"
Gastroenterology,Elkader,MercyOne Elkader Medical Center,1/MO,Medical Associates Clinic - Dyersville,Dyersville,"Joseph John Snyder, DO"
Cardiovascular Disease,Emmetsburg,Palo Alto County Health System,1/WK,Mason City Clinic PC,Mason City,"Byron T Beasley, MD"
Cardiovascular Disease,Emmetsburg,Palo Alto County Health System,1/WK,Mason City Clinic PC,Mason City,"Denisa Lavinia Hagau, MD"
General Surgery,Emmetsburg,Palo Alto County Health System,1/WK,Northwest Iowa Surgeons,Spencer,"Jeffre Duane Helmink, MD"
General Surgery,Emmetsburg,Palo Alto County Health System,1/WK,Northwest Iowa Surgeons,Spencer,"Jason Robert Keonin, MD"
General Surgery,Emmetsburg,Palo Alto County Health System,1/WK,Northwest Iowa Surgeons,Spencer,"Jaren Heath Ricker, MD"
General Surgery,Emmetsburg,Palo Alto County Health System,1/WK,Northwest Iowa Surgeons,Spencer,"Patrick James Slattery, MD"
Ophthalmology,Emmetsburg,Palo Alto County Health System,1/MO,Wolfe Eye Clinic - Spencer,Spencer,"Stephen Paul Fox, MD"
Orthopaedic Surgery,Emmetsburg,Palo Alto County Health System,1/WK,"NW IA Bone, Joint & Sports - Spencer",Spencer,"Jason C Hough, DO"
Otolaryngology,Emmetsburg,Palo Alto County Health System,2/MO,Mason City Clinic PC,Mason City,"Timothy M Dettmer, MD"
Urology,Emmetsburg,Palo Alto County Health System,1/MO,Mason City Clinic PC,Mason City,"Steven Patrick Thoma, MD"
Cardiovascular Disease,Estherville,Avera Holy Family Health,2/MO,North Central Heart Institute,"Sioux Falls, SD","Paul L Carpenter, MD"
General Surgery,Estherville,Avera Holy Family Health,1/WK,Northwest Iowa Surgeons,Spencer,"Jaren Heath Ricker, MD"
General Surgery,Estherville,Avera Holy Family Health,1/WK,Northwest Iowa Surgeons,Spencer,"Patrick James Slattery, MD"
Orthopaedic Surgery,Estherville,Avera Holy Family Health,1/WK,"NW IA Bone, Joint & Sports - Spencer",Spencer,"John A Leupold, MD"
Allergy & Immunology,Fairfield,Jefferson County Health Center,1/MO,Allergy Asthma & Sinus Center PC,West Des Moines,"Ravinder K Agarwal, MD"
Cardiovascular Disease,Fairfield,Jefferson County Health Center,2/MO,UIHC Heart and Vein Center - IRL,Coralville,"Nicholas E Walker, MD"
Electrophysiology Clinical Cardiac,Fairfield,Jefferson County Health Center,1/MO,UIHC Heart and Vein Center - IRL,Coralville,"James R Hopson, MD"
Neurology,Fairfield,Jefferson County Health Center,1/WK,Neurology & Sleep Clinic - Burlington,West Burlington,"Anil K Dhuna, MD"
Neurology,Fairfield,Jefferson County Health Center,1/WK,Neurology & Sleep Clinic - Burlington,West Burlington,"Rahul Khanna, MD"
Otolaryngology,Fairfield,Jefferson County Health Center,1/WK,"ENT Medical Services, PC",Iowa City,"Daniel R Olney, MD"
Rheumatology,Fairfield,Jefferson County Health Center,2/MO,Dr Robert W Jackson,"Kirksville, MO","Robert W Jackson, DO"
Undersea & Hyperbaric Medicine,Fairfield,Jefferson County Health Center,1/WK,ORHC Wound Care & Hyperbaric Center,Ottumwa,"Jessica Ann Hicks, DO"
Hematology-Oncology,Fort Dodge,UnityPoint Health Trinity - Fort Dodge,3+/MO,Mission Cancer + Blood - John Stoddard,Des Moines,"Daulath Singh, MD"
Interventional Cardiology,Fort Dodge,UnityPoint Health Trinity - Fort Dodge,1/WK,Iowa Heart Center - Fort Dodge,Fort Dodge,"Joseph J Cookman, DO"
Medical Oncology,Fort Dodge,UnityPoint Health Trinity - Fort Dodge,1/WK,McFarland - William Bliss Cancer Center,Ames,"Sreenath Kodali, MD"
Medical Oncology,Fort Dodge,UnityPoint Health Trinity - Fort Dodge,1/WK,McFarland - William Bliss Cancer Center,Ames,"Venkatesh Krishnamurthy Rudrapatna, MD"
Ophthalmology,Fort Dodge,UnityPoint Health Trinity - Fort Dodge,2/MO,Wolfe Eye Clinic - Ames,Ames,"Steven Oscar Anderson, MD"
Otolaryngology,Fort Dodge,UnityPoint Health Trinity - Fort Dodge,4+/MO,UnityPoint ENT - United Med Park,Waterloo,"Felix Edward Gonzales, MD"
Radiation Oncology,Fort Dodge,UnityPoint Health Trinity - Fort Dodge,3+/WK,McFarland - William Bliss Cancer Center,Ames,"John George Hardie, MD"
Radiation Oncology,Fort Dodge,UnityPoint Health Trinity - Fort Dodge,3+/WK,McFarland - William Bliss Cancer Center,Ames,"Lyman Shane Hopkins, MD"
Urology,Fort Dodge,UnityPoint Health Trinity - Fort Dodge,2/MO,UnityPoint Clinic Urology - Waterloo,Waterloo,"Eric David Andresen, MD"
Urology,Fort Dodge,UnityPoint Health Trinity - Fort Dodge,2/MO,UnityPoint Clinic Urology - Waterloo,Waterloo,"Eric John Askeland, MD"
Urology,Fort Dodge,UnityPoint Health Trinity - Fort Dodge,2/MO,UnityPoint Clinic Urology - Waterloo,Waterloo,"Mark Richard Newton, MD"
Vascular Surgery,Fort Dodge,UnityPoint Health Trinity - Fort Dodge,1/WK,Iowa Clinic Cardiovascular - West Des Moines,West Des Moines,"Dennis M Fry, MD"
